id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26640151,*1 Bed Apt * ⌂ WFH!  → Great INTERNET | WOOLIES,7131157,Joanne & Scott,,Melbourne,-37.81349,144.94254,Entire home/apt,100,3,23,2020-03-24,0.51,10,0,0,
26643107,City Sanctuary - 1BD Apartment in South Yarra,11250637,Jessica,,Stonnington,-37.83771,144.99005,Entire home/apt,115,2,14,2018-12-23,0.31,1,0,0,
26655518,House. Williams Landing 4 min Walking to bus stop,93805473,Edwin,,Wyndham,-37.85566,144.75258,Private room,30,15,0,,,1,0,0,
26669478,"Family friendly 2 Bedroom, 2 Bathroom home",13141332,Sarah,,Yarra,-37.79438,144.98229,Entire home/apt,450,7,7,2019-08-03,0.19,1,0,0,
26671062,Beautiful in Brighton,13727301,Jill,,Bayside,-37.89835,144.98891,Private room,70,2,39,2022-01-01,0.89,1,359,2,
26671138,Glen Cottage,34266754,Wu,,Monash,-37.89734,145.16048,Private room,55,1,2,2018-07-28,0.04,1,0,0,
26671306,1 Beds 1 Bath City Apt  Parking/WiFi/Great Balcony,159278017,Spencer Street Apartments,,Melbourne,-37.81247,144.9499,Entire home/apt,390,2,3,2019-05-13,0.07,21,95,0,
26672066,"Cosy Docklands apartment, free tram zone and WIFI",65205538,Tin,,Melbourne,-37.82097,144.94648,Entire home/apt,90,1,2,2018-08-11,0.04,2,0,0,
26674153,"Room in Carlton, close to Fitzroy",189679922,Sue,,Melbourne,-37.80566,144.96654,Private room,61,3,44,2020-03-01,0.97,6,0,0,
26678959,"Rodda Retreat
Walking distance to Montsalvat",132896380,Kath,,Nillumbik,-37.73406,145.14604,Entire home/apt,110,1,40,2020-03-15,0.94,1,127,0,
26679386,St Kilda Sea View Apartment with 2BD+Wifi+Parking,60889252,Cindy,,Port Phillip,-37.86077,144.98526,Entire home/apt,99,1,18,2019-02-24,0.40,3,0,0,
26679619,Home on a Little Hill (En suite room),200139985,Oleg,,Melton,-37.71352,144.58596,Private room,45,2,7,2019-03-13,0.16,3,0,0,
26692091,客房2,102556944,Gao,,Monash,-37.86956,145.16945,Private room,40,1,4,2018-12-01,0.09,2,0,0,
26693427,"Luxeden Apartment,52-new,boutique,spacious",198067481,Christine,,Monash,-37.87928,145.16557,Entire home/apt,280,7,3,2019-06-09,0.07,6,1,0,
